code,location,registered votes,envelopes,valid votes,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
549878,Smetanova Lhota,240,165,164,7,1,0,14,0,12,17,2,4,1,0,0,23,0,12,47,0,0,7,0,8,0,0,9,0
529885,Stehlovice,77,58,57,5,0,0,9,0,1,14,1,1,0,0,0,8,1,0,8,0,1,5,0,0,0,0,3,0
549932,Tálín,140,83,83,2,0,0,7,0,7,12,1,1,1,0,0,13,0,2,25,0,0,2,0,0,1,0,8,1
562271,Temešvár,98,77,77,14,1,0,7,0,0,5,0,2,6,0,1,4,0,2,22,0,0,1,0,1,1,2,8,0
562211,Varvažov,177,116,115,11,0,0,12,0,1,17,2,1,0,0,0,16,0,3,39,0,0,1,0,0,0,0,12,0
549975,Veselíčko,177,107,106,13,4,0,4,0,8,17,1,1,2,0,0,6,0,6,27,0,0,1,0,0,0,0,16,0
598844,Vlastec,167,119,118,11,5,0,18,1,3,12,4,1,3,0,0,8,0,1,37,0,0,3,0,1,0,0,10,0
598852,Vlksice,121,65,65,4,0,0,8,0,1,13,0,0,3,0,0,5,0,0,27,0,0,2,0,0,0,0,2,0
562289,Vojníkov,76,46,46,2,0,0,4,0,0,0,3,0,0,0,0,4,0,2,22,0,0,2,0,0,0,0,7,0
549991,Vráž,295,196,196,22,0,0,15,1,7,8,0,0,1,0,2,26,0,8,60,0,1,10,0,1,0,1,32,1
550001,Vrcovice,135,96,95,13,0,0,7,0,0,6,5,0,1,0,0,8,0,4,30,1,0,7,0,0,0,1,12,0
550027,Záhoří,656,405,404,44,1,0,18,2,17,48,7,3,6,1,0,43,0,11,137,0,0,33,0,1,0,1,31,0
550035,Zbelítov,285,168,165,13,2,0,8,1,3,20,6,5,0,0,2,16,0,9,61,0,0,7,0,0,0,0,12,0
550043,Zběšičky,139,41,41,1,0,1,3,0,4,8,0,0,2,0,0,4,0,0,13,0,0,0,0,0,0,0,5,0
550060,Zhoř,252,154,154,29,1,0,10,0,5,13,1,2,2,0,0,16,0,14,31,0,0,22,0,0,0,0,8,0
562165,Zvíkovské Podhradí,174,135,135,18,2,0,7,0,6,10,1,1,2,0,1,18,0,13,30,0,0,8,0,0,0,0,18,0
598861,Žďár,210,131,131,13,4,0,9,0,9,19,1,2,0,0,0,10,0,12,26,0,0,9,0,2,0,0,15,0
